user_id,step,time_spent,completed,feedback
u001,signup,9,yes,
u001,email_verification,25,no,Email went to spam
u002,signup,16,yes,
u002,email_verification,14,yes,
u002,profile_setup,42,no,Too many fields
u003,signup,35,yes,
u003,email_verification,10,yes,
u003,profile_setup,9,yes,
u003,feature_tour,13,yes,
u003,first_action,21,yes,
u003,upgrade_prompt,22,no,Not ready to upgrade
u004,signup,9,yes,
u004,email_verification,43,yes,
u004,profile_setup,20,yes,
u004,feature_tour,42,yes,
u004,first_action,34,yes,
u004,upgrade_prompt,22,no,Too expensive
u005,signup,25,yes,
u005,email_verification,8,yes,
u005,profile_setup,18,yes,
u005,feature_tour,35,yes,
u005,first_action,29,yes,
u005,upgrade_prompt,25,no,Didn't want to pay
u006,signup,29,yes,
u006,email_verification,14,yes,
u006,profile_setup,13,no,Interface was confusing
u007,signup,30,yes,
u007,email_verification,30,no,Link expired too fast
u008,signup,37,yes,
u008,email_verification,42,no,OTP didn’t arrive
u009,signup,13,yes,
u009,email_verification,43,yes,
u009,profile_setup,26,yes,
u009,feature_tour,31,yes,
u009,first_action,44,no,Didn't understand what to do
u010,signup,10,yes,
u010,email_verification,22,no,Link expired too fast
u011,signup,22,yes,
u011,email_verification,14,no,Too confusing
u012,signup,37,yes,
u012,email_verification,31,yes,
u012,profile_setup,18,yes,
u012,feature_tour,31,no,Too many tooltips
u013,signup,25,yes,
u013,email_verification,12,yes,
u013,profile_setup,18,no,Uploading photo failed
u014,signup,37,yes,
u014,email_verification,32,yes,
u014,profile_setup,25,no,Uploading photo failed
u015,signup,11,yes,
u015,email_verification,22,yes,
u015,profile_setup,10,yes,
u015,feature_tour,28,no,Too many popups
u016,signup,12,yes,
u016,email_verification,21,yes,
u016,profile_setup,44,yes,
u016,feature_tour,28,no,Tour was too long
u017,signup,33,yes,
u017,email_verification,37,yes,
u017,profile_setup,17,yes,
u017,feature_tour,24,yes,
u017,first_action,16,no,Didn't understand what to do
u018,signup,42,yes,
u018,email_verification,24,yes,
u018,profile_setup,45,yes,
u018,feature_tour,35,yes,
u018,first_action,45,yes,
u018,upgrade_prompt,33,no,Too expensive
u019,signup,16,yes,
u019,email_verification,40,yes,
u019,profile_setup,39,no,Too many fields
u020,signup,15,yes,
u020,email_verification,17,no,Email went to spam
u021,signup,12,yes,
u021,email_verification,32,yes,
u021,profile_setup,32,yes,
u021,feature_tour,37,yes,
u021,first_action,41,no,Too many popups
u022,signup,8,yes,
u022,email_verification,15,yes,
u022,profile_setup,42,yes,
u022,feature_tour,25,yes,
u022,first_action,29,yes,
u022,upgrade_prompt,15,no,Too expensive
u023,signup,18,yes,
u023,email_verification,37,yes,
u023,profile_setup,8,yes,
u023,feature_tour,24,yes,
